"","x"
"1","US"
"2","US"
"3","US"
"4","US"
"5","US"
"6","US"
"7","US"
"8","US"
"9","US"
"10","US"
"11","US"
"12","US"
"13","US"
"14","US"
"15","US"
"16","US"
"17","US"
"18","US"
"19","US"
"20","US"
"21","US"
"22","US"
"23","US"
"24","US"
"25","US"
"26","US"
"27","US"
"28","US"
"29","US"
"30","US"
"31","US"
"32","US"
"33","US"
"34","US"
"35","US"
"36","US"
"37","US"
"38","US"
"39","US"
"40","US"
"41","US"
"42","US"
"43","US"
"44","US"
"45","US"
"46","US"
"47","US"
"48","US"
"49","US"
"50","US"
"51","US"
"52","US"
"53","US"
"54","US"
"55","US"
"56","US"
"57","US"
"58","US"
"59","US"
"60","US"
"61","US"
"62","US"
"63","US"
"64","US"
"65","US"
"66","US"
"67","US"
"68","US"
"69","US"
"70","US"
"71","US"
"72","US"
"73","US"
"74","US"
"75","US"
"76","US"
"77","US"
"78","US"
"79","US"
"80","US"
"81","US"
"82","US"
"83","US"
"84","US"
"85","US"
"86","US"
"87","US"
"88","US"
"89","US"
"90","US"
"91","US"
"92","US"
"93","US"
"94","US"
"95","US"
"96","US"
"97","US"
"98","US"
"99","US"
"100","US"
"101","US"
"102","US"
"103","US"
"104","US"
"105","US"
"106","US"
"107","US"
"108","US"
"109","US"
"110","US"
"111","US"
"112","US"
"113","US"
"114","US"
"115","US"
"116","US"
"117","US"
"118","US"
"119","US"
"120","US"
"121","US"
"122","US"
"123","US"
"124","US"
"125","US"
"126","US"
"127","US"
"128","US"
"129","US"
"130","US"
"131","US"
"132","US"
"133","US"
"134","US"
"135","US"
"136","US"
"137","US"
"138","US"
"139","US"
"140","US"
"141","US"
"142","US"
"143","US"
"144","US"
"145","US"
"146","US"
"147","US"
"148","US"
"149","US"
"150","US"
"151","US"
"152","US"
"153","US"
"154","US"
"155","US"
"156","US"
"157","US"
"158","US"
"159","US"
"160","US"
"161","US"
"162","US"
"163","US"
"164","US"
"165","US"
"166","US"
"167","US"
"168","US"
"169","US"
"170","US"
"171","US"
"172","US"
"173","US"
"174","US"
"175","US"
"176","US"
"177","US"
"178","US"
"179","US"
"180","US"
"181","US"
"182","US"
"183","US"
"184","US"
"185","US"
"186","US"
"187","US"
"188","US"
"189","US"
"190","US"
"191","US"
"192","US"
"193","US"
"194","US"
"195","US"
"196","US"
"197","US"
"198","US"
"199","US"
"200","US"
"201","US"
"202","US"
"203","US"
"204","US"
"205","US"
"206","US"
"207","US"
"208","US"
"209","US"
"210","US"
"211","US"
"212","US"
"213","US"
"214","US"
"215","US"
"216","US"
"217","US"
"218","US"
"219","US"
"220","US"
"221","US"
"222","other"
"223","US"
"224","US"
"225","US"
"226","US"
"227","US"
"228","US"
"229","US"
"230","US"
"231","US"
"232","US"
"233","US"
"234","US"
"235","US"
"236","US"
"237","US"
"238","US"
"239","US"
"240","US"
"241","US"
"242","US"
"243","US"
"244","US"
"245","US"
"246","US"
"247","US"
"248","US"
"249","US"
"250","US"
"251","US"
"252","US"
"253","US"
