"","x"
"3","US"
"4","US"
"6","US"
"7","US"
"8","US"
"10","US"
"12","US"
"17","US"
"21","US"
"27","US"
"28","US"
"29","US"
"32","US"
"36","US"
"39","US"
"42","US"
"45","US"
"55","US"
"58","US"
"60","US"
"62","US"
"63","US"
"67","US"
"69","US"
"75","US"
"78","US"
"83","US"
"84","US"
"91","US"
"96","US"
"101","US"
"103","US"
"105","US"
"109","US"
"112","US"
"114","US"
"116","US"
"117","US"
"123","US"
"127","US"
"128","US"
"134","US"
"135","US"
"142","US"
"147","US"
"149","US"
"152","US"
"153","US"
"155","US"
"157","US"
"166","US"
"168","US"
"172","US"
"177","US"
"178","US"
"179","US"
"180","US"
"182","US"
"183","US"
"189","US"
"192","US"
"194","US"
"195","US"
"204","US"
"206","US"
"208","US"
"213","US"
"216","US"
"218","US"
"219","US"
"227","US"
"230","US"
"231","US"
"234","US"
"246","US"
"247","US"
"250","US"
"252","US"
"254","US"
"255","US"
"259","US"
"260","US"
"264","US"
"265","US"
"266","US"
"268","US"
"270","US"
"271","US"
"273","US"
"276","US"
"282","US"
"283","US"
"285","US"
"288","US"
"289","US"
"291","US"
"292","US"
"300","US"
"304","US"
"305","US"
"306","US"
"307","US"
"312","US"
"319","US"
"322","US"
"324","US"
"325","US"
"326","US"
"331","US"
"332","US"
"337","US"
"343","US"
"347","US"
"351","US"
"352","US"
"359","US"
"360","US"
"363","US"
"364","US"
"366","US"
"368","US"
"370","US"
"373","US"
"381","US"
"383","US"
"384","US"
"397","US"
"399","US"
"400","US"
"402","US"
"407","US"
"409","US"
"413","US"
"420","US"
"421","US"
"425","US"
"426","US"
"428","US"
"432","US"
"435","US"
"437","US"
"440","US"
"442","US"
"449","US"
"453","US"
"455","US"
"464","US"
"468","US"
"469","US"
"472","US"
"473","US"
"478","US"
"483","US"
"486","US"
"487","US"
"490","US"
"491","US"
"492","US"
"495","US"
"499","US"
"500","US"
"510","US"
"512","US"
"513","US"
"515","US"
"526","US"
"528","US"
"534","US"
"536","US"
"541","US"
"542","US"
"544","US"
"550","US"
"551","US"
"554","US"
"566","US"
"568","US"
"573","US"
"575","US"
"576","US"
"578","US"
"584","US"
"589","US"
"590","US"
"598","US"
"603","US"
"604","US"
"606","US"
"608","US"
"609","US"
"617","US"
"619","US"
"621","US"
"622","US"
"624","US"
"625","US"
"626","US"
"630","US"
"635","US"
"645","US"
"648","US"
"656","US"
"657","US"
"660","US"
"663","US"
"664","US"
"666","US"
"669","US"
"675","US"
"677","US"
"678","US"
"680","US"
"686","US"
"692","US"
"699","US"
"700","US"
"704","US"
"705","US"
"710","US"
"712","US"
"715","US"
"716","US"
"718","US"
"721","US"
"722","US"
"725","US"
"726","US"
"733","US"
"746","US"
"748","US"
"749","US"
"751","US"
"757","US"
"758","US"
"759","US"
"771","US"
"773","US"
"774","US"
"776","US"
"791","US"
"792","US"
"794","US"
"795","US"
"798","US"
"799","US"
"801","US"
"807","US"
"808","US"
"809","US"
"817","US"
"818","US"
"822","US"
"826","US"
"828","US"
"831","US"
"832","US"
"833","US"
"836","US"
"839","US"
"842","US"
